indice_insertion;indice_effort
21.183;9.128
21.857;12.072
25.256;16.049
34.707;19.491
23.582;8.021
32.033;17.604
34.918;23.894
21.74;8.836
20.627;6.384
26.614;17.52
22.345;7.172
44.323;25.984
48.108;23.125
31.828;16.049
27.386;14.591
22.765;9.648
24.665;8.016
29.222;15.736
36.952;14.641
30.845;12.309
14.667;6.385
29.697;20.013
18.831;8.59
28.766;9.172
24.004;7.636
33.117;10.904
20.82;12.159
33.824;12.922
18.987;6.472
22.625;7.553
29.064;21.352
27.216;13.45
26.735;7.81
29.78;12.152
16.488;1.677
25.721;11.461
30.869;12.639
23.264;14.201
22.044;8.057
27.57;14.535
26.579;10.445
18.456;6.682
14.671;10.085
39.295;16.17
22.917;4.224
35.842;9.818
18.636;4.932
16.699;8.066
11.629;4.841
25.134;17.656
19.688;7.55
30.382;18.643
12.82;8.442
39.482;23.666
24.414;9.856
24.238;11.168
35.253;14.542
14.936;5.047
17.8;10.512
16.576;7.129
21.082;15.394
18.695;9.01
20.376;7.139
28.619;8.667
24.972;10.365
29.66;10.123
38.708;8.074
36.44;21.806
31.903;13.118
11.358;3.965
34.19;12.686
25.985;21.359
45.571;19.312
31.283;12.356
19.356;7.848
31.908;10.286
23.671;20.638
20.792;11.015
14.92;7.022
33.701;7.385
25.957;13.406
28.562;13.66
48.749;15.1
30.634;11.907
33.036;12.541
24.909;10.204
32.226;7.428
45.794;26.028
17.307;8.849
30.897;15.992
35.939;10.931
43.456;10.941
14.429;5.706
44.403;13.22
21.533;8.861
31.333;17.221
24.238;12.004
22.238;11.485
21.964;16.323
13.646;11.773
21.803;15.136
19.233;4.284
24.662;6.029
24.064;11.969
26.539;11.724
19.736;8.213
19.504;5.762
44.458;12.264
19.065;15.704
29.458;12.981
24.911;8.24
25.04;13.345
31.896;22.243
29.107;14.131
21.996;5.946
42.898;25.443
63.535;26.977
22.643;8.489
34.161;8.781
25.73;8.089
39.686;8.003
30.642;11.097
41.408;18.164
15.335;8.631
33.853;11.653
27.423;12.366
37.262;13.549
31.419;23.7
21.805;9.172
28.116;14.214
35.566;8.957
9.057;3.691
45.613;12.264
34.554;15.68
20.512;9.213
21.319;14.316
18.383;4.218
32.662;20.926
36.969;15.182
23.274;7.08
56.816;28.458
26.852;8.738
19.143;7.124
53.836;17.586
22.729;7.513
22.828;15.365
15.953;8.511
19.615;5.609
40.709;16.624
23.457;14.925
27.29;8.915
39.778;22.142
22.204;11.874
16.511;16.021
19.734;17.485
21.872;9.636
25.308;15.232
30.305;9.627
34.265;10.905
33.246;20.622
41.126;19.804
31.624;10.913
22.195;6.231
31.313;14.449
33.384;9.494
28.505;16.225
29.623;20.777
36.566;13.696
29.084;14.589
29.729;16.472
27.221;10.98
31.141;7.685
40.698;24.547
29.621;10.988
25.69;17.874
38.073;12.95
21.15;9.228
15.486;8.884
23.891;14.482
21.237;11.648
33.549;19.058
25.414;9.493
31.94;9.616
20.165;13.806
19.721;18.76
25.888;12.486
29.612;10.282
27.347;8.978
28.226;10.154
38.941;17.578
18.114;4.613
31.108;13.758
27.988;8.464
29.448;20.725
26.31;14.161
40.689;9.783
31.711;16.499
35.742;19.21
23.938;14.159
31.199;14.496
37.659;10.396
39.363;11.987
20.789;4.736
26.581;8.324
28.012;8.622
25.011;17.125
21.691;9.269
20.875;6.502
40.936;12.769
32.46;8.83
15.483;8.086
23.799;10.103
29.589;12.99
21.44;4.917
9.853;2.435
30.151;9.975
15.299;6.059
21.51;5.26
19.022;4.581
27.836;9.168
24.171;6.473
25.01;11.533
20.732;3.519
25.352;11.117
40.322;16.338
40.734;11.849
13.044;3.431
40.762;4.12
13.272;12.869
30.646;7.679
29.522;8.717
17.955;17.319
29.251;11.145
22.698;7.699
27.136;10.459
31.056;11.869
30.818;16.232
14.602;5.357
15.06;4.803
13.058;9.052
21.015;9.024
17.677;17.988
12.499;4.781
28.239;9.564
32.546;17.83
26.738;8.835
14.123;16.437
36.688;10.302
27.398;20.626
42.12;13.699
27.678;34.651
28.567;12.025
21.544;8.536
27.025;9.832
29.591;13.568
31.226;8.98
29.45;13.245
23.311;9.689
16.049;4.187
27.964;9.184
14.231;6.713
19.772;8.863
21.483;10.719
17.899;6.095
17.39;4.751
31.746;13.361
39.529;13.123
27.63;12.201
28.622;9.193
18.586;5.542
23.596;10.313
29.079;10.649
20.575;10.081
31.21;13.602
35.923;15.636
42.287;11.28
44.104;11.194
18.678;6.349
23.307;7.48
40.04;16.32
21.281;11.042
39.034;19.578
41.627;16.573
15.664;3.064
21.67;6.181
25.297;13.556
30.447;8.802
19.719;5.19
31.795;3.225
23.613;4.069
10.579;7.177
18.889;9.464
28.36;7.668
33.419;10.986
16.24;10.681
15.438;9.349
18.62;7.055
15.409;5.228
21.536;11.788
56.216;41.629
20.125;6.527
32.622;16.524
26.206;11.075
21.572;11.623
27.244;7.482
27.634;24.865
41.963;17.742
16.586;15.757
28.32;17.994
17.483;6.522
14.555;9.257
19.766;16.574
33.543;22.51
28.262;11.069
28.976;10.551
25.894;7.128
16.937;17.109
28.561;8.041
28.21;8.224
19.949;9.278
32.329;11.408
40.213;23.207
20.681;9.824
23.672;8.008
11.424;3.727
12.777;6.402
37.18;18.36
15.14;6.527
12.061;3.7
27.299;23.502
30.518;10.936
25.119;15.128
26.021;12.78
23;12.799
33.318;8.967
35.982;16.482
27.13;9.66
33.233;8.286
32.6;17.828
22.631;13.481
30.132;13.704
34.206;4.022
38.298;10.937
23.541;15.025
29.751;9.474
16.507;16.438
53.907;9.174
26.878;8.357
23.369;7.314
24.73;19.404
36.83;12.351
15.553;1.729
47.442;11.963
29.486;6.725
32.068;22.328
47.507;17.14
14.514;25.394
32.772;11.013
19.224;10.701
13.587;4.263
17.483;3.909
28.893;27.604
35.575;22.359
23.181;11.264
19.492;8.094
39.182;18.858
35.435;11.625
29.924;11.886
21.563;11.885
26.096;9.714
23.133;9.708
37.438;12.685
37.619;42.055
26.284;15.056
22.624;9.457
25.565;13.756
33.184;12.028
30.665;10.354
54.895;38.399
18.001;4.463
17.213;7.962
23.588;12.146
40.51;7.255
28.449;16.258
19.854;8.65
22.034;14.299
13.54;5.984
19.393;7.881
24.172;9.052
35.632;26.262
10.645;10.316
22.746;17.03
34.413;22.389
21.085;17.338
12.594;9.604
23.384;7.988
36.606;7.964
48.119;35.811
21.904;6.745
17.154;18.744
19.063;9.373
32.333;4.792
19.879;8.775
21.835;10.997
32.546;6.886
9.452;11.887
35.119;45.719
13.151;5.108
38.022;29.484
23.822;22.764
18.663;14.85
23.971;4.712
30.043;26.025
14.467;11.636
40.92;10.774
38.04;11.932
38.341;25.388
27.617;17.684
20.289;17.142
22.807;15.41
29.162;18.701
33.78;12.749
27.001;6.809
24.215;7.992
26.46;18.139
43.826;15.04
45.452;23.801
15.604;6.238
16.678;9.115
19.343;3.544
24.35;9.876
28.028;15.8
16.111;6.534
15.804;7.845
49.731;15.999
15.572;6.757
39.411;2.59
46.642;14.302
10.802;2.573
16.727;3.749
11.54;2.268
22.726;12.424
22.922;11.524
39.568;17.909
18.843;6.138
14.318;28.571
20.655;15.739
29.261;13.873
16.689;10.403
35.383;11.981
22.078;8.444
22.271;10.169
15.821;5.755
19.727;11.643
18.523;5.206
21.241;5.711
19.619;8.821
17.674;7.264
23.996;7.271
21.252;6.829
55.137;17.953
47.721;17.73
34.736;10.798
37.179;7.89
36.962;11.797
26.297;15.094
32.126;7.429
22.766;14.109
52.289;25.695
28.509;10.556
33.48;16.171
29.672;13.338
18.528;23.974
12.642;0.593
25.234;7.511
18.401;11.559
13.38;0.504
8.267;5.022
23.387;9.443
14.596;3.716
20.064;6.334
22.081;13.738
19.348;8.581
14.69;9.65
31.108;6.124
35.423;8.599
26.205;5.566
24.921;12.063
17.983;5.38
13.451;10.237
29.909;20.08
20.71;4.659
23.184;32.206
15.724;11.694
22.866;6.284
27.044;11.026
20.93;1.828
30.961;7.966
24.893;8.981
24.897;29.523
39.537;15.634
26.419;12.474
23.098;14.855
24.111;3.62
16.911;2.586
22.257;6.512
31.517;8.875
24.417;4.806
28.56;14.955
17.05;12.119
18.927;58.596
31.841;15.409
16.085;12.142
28.766;12.635
12.239;13.243
46.496;19.979
20.369;9.904
40.305;28.712
15.916;5.607
30.121;8.779
49.682;14.083
28.454;7.629
21.114;14.505
29.165;14.479
19.596;10.575
19.084;8.303
76.881;15.397
30.399;70.925
36.155;12.915
19.829;4.723
26.263;6.748
16.004;6.793
29.126;14.72
20.734;3.485
12.139;13.461
14.477;16.623
27.034;10.034
16.291;8.248
17.008;6.47
15.436;6.684
28.189;8.123
17.656;13.953
22.133;13.671
28.528;8.689
13.515;8.76
20.995;20.609
26.818;22.315
14.553;13.19
26.978;12.223
26.623;13.202
29.683;10.943
47.604;16.613
45.13;10.519
42.234;17.804
20.519;10.383
43.51;16.606
6.585;4.739
28.068;2.259
17.69;14.651
50.141;37.313
31.772;10.258
46.688;12.493
41.585;14.395
17.109;4.861
17.341;5.568
11.465;9.286
15.157;11.734
21.412;9.702
16.666;9.248
9.708;2.72
20.392;8.971
23.413;11.232
20.245;13.312
18.301;6.248
13.661;5.842
27.822;13.326
17.406;5.345
14.101;11.416
15.788;6.249
16.357;13.967
27.498;16.957
33.079;5.939
28.599;10.458
24.943;14.667
30.617;9.635
26.34;29.122
30.018;11.186
34.744;6.297
30.75;23.821
25.772;15.963
31.735;20.285
24.759;30.405
21.121;11.405
18.969;7.662
21.166;9.392
12.35;7.395
33.059;14.004
21.668;8.918
19.249;7.994
33.041;10.455
17.349;15.811
29.818;5.809
21.779;7.93
40.455;18.518
14.702;11.656
21.368;7.405
48.086;19.077
21.971;9.196
24.855;6.45
19.366;7.456
15.373;8.551
22.365;23.934
25.691;7.49
25.798;19.458
23.345;6.652
24.426;12.549
35.789;18.542
30.726;7.629
32.352;11.755
13.469;6.001
13.012;4.78
38.954;16.654
20.211;9.137
32.237;20.05
27.367;9.285
30.753;8.901
14.86;8.018
26.501;12.707
42.524;11.896
38.145;18.578
23.481;9.151
31.117;25.306
14.188;11.067
35.299;16.678
29.156;13.194
35.704;26.309
40.052;4.307
18.203;10.767
33.688;19.828
35.086;9.691
31.147;11.52
42.049;41.754
26.596;17.077
35.424;12.38
33.292;20.171
36.679;19.778
37.371;15.019
28.844;7.987
47.565;11.822
30.667;18.463
29.56;9.205
19.686;10.339
16.217;6.247
20.026;7.758
34.359;39.924
23.119;7.215
18.481;5.998
21.405;8.704
25.562;9.778
39.178;20.312
38.936;21.639
22.653;14.465
38.862;8.795
30.938;22.275
26.543;10.782
24.083;17.971
24.835;15.322
24.612;16.154
33.152;12.978
29.524;10.083
23.34;6.395
25.714;2.231
37.35;13.614
20.135;6.006
20.61;5.847
26.297;10.003
41.537;18.221
49.993;10.974
23.82;6.53
29.917;8.418
23.615;3.743
20.722;7.136
29.596;11.687
33.456;64.773
22.882;10.674
36.448;14.428
23.042;13.463
36.785;8.534
23.388;7.976
16.265;5.427
19.863;2.459
14.851;2.927
19.713;3.732
19.701;10.545
17.025;7.533
20.83;5.08
32.556;21.653
26.45;19.286
15.199;8.949
16.888;10.247
26.195;6.419
18.851;5.837
37.014;8.484
31.651;12.508
22.072;7.049
27.725;12.737
21.311;10.383
19.884;10.978
17.253;3.276
13.059;15.208
18.437;11.17
25.728;7.126
28.672;7.167
23.129;10.185
25.918;18.631
61.806;0
45.869;10.365
28.299;17.254
27.451;7.997
30.155;4.305
40.675;13.682
26.354;15.529
23.702;8.581
24.96;7.261
22.586;10.249
23.536;10.374
18.815;8.065
25.696;9.712
33.801;17.37
30.554;25.875
27.902;8.571
35.088;17.403
35.027;12.512
19.535;10.826
27.957;12.83
33.924;26.461
32.107;29.358
25.975;17.983
21.379;10.457
32.391;17.406
55.579;19.891
30.75;19.66
24.52;6.597
42.81;15.921
24.863;13.322
38.309;10.539
24.213;16.63
28.869;19.419
24.214;10.708
30.736;13.359
25.614;7.33
29.476;18.846
20.822;7.595
25.302;5.051
21.31;6.528
17.185;12.67
18.762;6.444
31.996;20.91
14.288;9.158
37.918;9.151
30.722;7.434
24.642;3.296
14.022;19.709
19.769;10.494
16.135;11.129
14.349;27.664
18.649;10.175
25.346;10.662
25.648;6.855
29.527;11.507
15.261;8.661
22.405;4.876
22.839;6.032
27.199;15.653
21.011;6.624
30.723;9.386
27.306;9.838
28.529;11.816
24.27;13.735
28.188;14.588
20.245;6.849
22.439;7.72
10.955;7.583
19.402;10.428
24.575;6.544
20.012;9.462
34.555;11.512
44.785;13.689
23.286;6.046
18.413;12.328
15.971;10.606
23.928;5.896
15.722;4.586
40.79;35.796
18.796;5.799
26.331;14.829
15.703;9.818
10.164;2.128
14.122;4.941
29.459;3.247
26.543;11.732
16.005;30.072
21.033;6.245
22.939;6.732
19.781;16.514
26.264;12.347
27.839;8.575
24.491;11.809
34.654;16.591
35.044;12.501
25.37;9.401
12.557;5.857
31.088;10.536
29.8;7.782
27.638;9.892
32.132;8.739
18.124;4.044
18.45;3.457
24.046;2.711
31.564;11.048
13.935;5.905
10.179;8.541
33.993;36.727
12.642;5.865
18.796;6.418
29.245;6.25
26.948;9.85
26.542;18.41
36.361;7.369
36.899;21.152
27.697;6.85
29.248;12.392
28.954;10.095
33.178;12.55
29.526;24.93
36.322;11.1
24.387;10.237
22.911;9.892
19.906;11.085
22.756;9.103
33.641;15.337
23.009;8.63
12.35;7.508
23.34;14.268
29.985;19.456
14.879;13.296
12.47;5.795
11.439;3.515
19.936;8
19.181;4.501
23.838;9.647
29.1;5.196
29.654;13.218
18.083;13.15
24.653;12.257
15.471;8.86
16.996;6.871
18.104;8.44
23.869;8.378
28.892;12.412
35.633;15.913
23.745;18.02
38.429;9.759
27.498;5.809
36.257;23.475
35.725;5.286
11.42;5.242
29.944;13.019
26.282;5.217
8.659;7.984
15.986;9.112
16.819;2.927
18.11;17.334
21.553;10.983
23.427;25.445
25.674;10.725
13.369;7.325
16.02;4.893
16.536;11.668
22.68;5.965
17.652;4.666
15.847;6.82
22.964;10.812
21.917;8.864
34.622;10.04
27.439;11.55
18.231;6.595
28.512;12.587
17.117;5.847
23.761;10.089
23.049;7.006
20.145;7.194
13.215;7.491
8.869;2.877
19.291;7.735
27.02;28.683
21.016;8.597
24.368;9.283
27.53;10.114
43.816;10.437
36.159;7.753
27.361;9.258
19.234;5.502
38.949;16.716
49.125;19.326
30.241;7.171
26.702;6.088
6.386;6.815
15.81;13.604
19.835;7.323
17.201;3.902
15.703;4.478
18.643;2.978
34.982;14.08
27.607;12.113
50.047;7.602
25.764;8.636
36.935;19.466
20.509;6.706
32.161;18.939
21.02;5.935
12.24;6.349
11.202;6.778
23.233;8.8
34.866;16.32
41.319;14.628
34.738;7.544
30.5;14.467
21.755;12.42
14.789;12.283
35.557;7.802
17.104;6.46
17.559;10.96
13.587;4.289
23.337;9.652
40.817;27.607
25.548;13.865
23.18;14.582
30.834;11.981
26.872;6.916
18.607;1.75
34.348;12.206
11.684;1.986
29.335;8.95
15.608;4.246
12.222;2.929
33.366;20.55
14.45;5.028
19.778;5.345
20.928;7.83
19.569;5.539
27.691;7.898
35.486;10.303
26.422;8.767
17.087;5.887
25.369;6.903
35.933;8.422
31.935;14.575
20.335;9.245
8.131;4.209
30.86;19.007
27.577;6.142
26.311;7.757
36.179;10.253
22.025;18.986
26.461;10.509
24.174;11.344
26.885;19.172
36.946;15.777
27.752;14.431
19.593;4.848
15.028;7.16
18.307;21.101
22.877;12.682
34.995;19.58
39.328;17.053
21.884;13.619
25.229;21.16
19.831;7.792
47.556;9.847
28.089;11.522
22.461;2.769
15.094;6.89
31.677;10.243
20.906;17.228
27.343;13.248
44.889;14.832
19.321;8.531
39.599;17.843
18.528;9.516
22.481;11.323
16.635;10.241
28.054;9.844
27.373;15.342
28.621;22.59
33.433;16.076
26.767;9.983
27.316;11.235
33.051;14.547
22.464;5.851
18.787;91.388
20.243;5.673
28.036;13.233
24.296;10.036
19.383;5.717
18.504;6.869
29.353;9.278
35.194;7.917
16.653;7.266
46.978;17.502
22.929;12.67
18.855;6.696
28.281;12.744
22.344;5.033
18.059;10.542
27.148;13.062
15.723;6.461
26.976;13.694
19.948;4.253
15.107;4.687
31.684;14.248
32.369;12.853
29.483;13.03
13.089;4.22
31.961;7.429
26.056;7.152
20.285;9.419
20.072;7.164
22.544;6.536
27.432;8.233
35.421;11.05
23.924;10.154
24.603;3.682
19.728;11.282
28.278;7.143
22.696;6.728
20.148;7.67
24.825;5.628
23.02;6.151
25.599;8.562
20.19;4.427
21.116;4.981
19.813;15.644
24.652;8.527
32.792;6.77
19.407;8.076
20.753;9.335
16.465;9.074
24.981;12.015
40.856;35.043
25.165;11.186
36.646;16.965
25.854;9.423
28.712;17.379
25.929;19.7
36.494;10.188
16.139;6.423
21.994;9.341
26.096;8.91
36.112;11.195
17.66;11.775
24.902;14.814
37.867;18.359
15.847;8.871
26.744;10.639
33.317;19.975
17.255;7.613
34.821;13.779
38.797;11.528
22.392;3.74
27.11;8.85
19.831;31.353
23.179;10.601
16.98;9.809
23.373;83.992
29.578;7.896
45.251;19.899
31.963;22.228
24.761;20.829
22.31;14.508
28.793;6.01
33.066;16.911
25.717;6.837
32.205;11.516
25.685;13.126
29.957;7.888
16.267;5.049
11.354;4.57
25.06;6.007
24.682;10.958
24.473;11.743
20.086;8.314
19.862;9.692
26.99;12.907
32.048;6.603
19.698;5.322
28.06;14.472
22.651;9.158
19.422;15.256
21.36;10.254
21.644;7.166
24.161;12.025
35.035;19.982
24.294;8.631
19.613;8.702
19.034;4.165
18.517;3.767
16.358;13.713
15.542;6.682
22.982;7.75
23.818;8.957
17.529;6.28
30.276;8.887
22.462;9.351
25.693;26.005
22.901;13.026
38.562;10.919
24.665;12.22
23.983;8.126
33.746;12.426
28.026;6.817
32.403;20.204
30.839;8.273
27.338;5.097
29.225;20.051
33.994;8.566
19.555;14.411
29.821;10.553
10.583;8.245
36.472;27.32
22.387;10.476
25.405;11.996
37.196;18.407
17.984;6.807
20.684;9.817
18.105;9.088
14.435;7.409
25.075;7.911
34.582;12.111
17.032;19.151
27.215;16.459
19.291;3.147
19.506;8.661
19.039;3.225
13.541;2.958
11.532;4.118
31.108;11.303
19.395;10.155
29.62;10.549
21.344;3.457
34.054;9.475
32.035;10.818
9.956;7.253
16.697;10.34
20.356;4.911
15.129;2.367
21.851;5.18
53.518;24.629
29.314;7.845
34.729;24.475
21.767;9.31
42.669;13.799
11.386;4.745
30.885;11.248
27.901;6.527
18.793;5.303
12.217;6.638
40.102;16.431
16.847;6.778
20.539;14.043
24.41;7.706
18.224;6.173
16.869;11.047
21.473;11.66
15.797;3.652
15.147;6.448
22.316;6.882
17.623;7.067
20.603;5.322
32.033;15.934
35.712;10.71
39.411;8.826
16.846;9.751
32.837;12.728
30.098;25.271
22.694;14.248
31.538;13.764
24.603;11.521
14.522;5.026
19.151;11.384
27.546;10.517
34.213;12.991
42.398;35.074
33.227;25.852
19.808;7.989
26.582;12.575
38.426;14.387
36.226;8.499
23.62;6.07
14.3;7.388
31.267;14.528
19.438;6.795
27.75;10.613
29.199;15.93
23.514;7.889
15.243;6.055
14.33;7.588
37.553;14.239
14.266;8.002
21.732;10.944
25.325;14.087
33.407;5.831
27.381;8.999
19.568;10.938
24.296;8.648
12.852;4.431
23.37;8.046
9.844;5.258
22.113;11.283
15.549;7.434
41.896;11.689
25.466;10.65
33.219;5.317
30.342;11.01
24.097;8.332
29.117;10.098
19.128;8.869
22.289;5.895
37.245;10.658
31.417;14.48
28.476;4.423
36.752;9.977
11.857;2.765
22.997;13.407
25.92;7.408
23.55;6.075
25.734;13.183
17.024;5.73
22.304;8.268
12.182;3.523
35.786;8.486
18.224;6.922
23.892;5.854
23.274;8.859
11.738;8.497
13.225;10.97
31.507;9.521
29.452;14.179
17.462;9.223
36.745;46.354
27.75;20.16
40.383;16.375
41.537;17.435
28.336;10.727
18.514;8.302
31.712;10.326
18.577;8.934
32.621;24.289
21.979;21.981
34.143;18.244
26.152;7.197
33.851;48.915
25.328;13.826
10.398;5.414
23.1;15.376
31.864;17.27
33.962;17.843
38.824;20.697
32.881;15.611
29.589;12.329
30.21;24.461
31.847;13.84
27.813;14.063
31.452;7.911
36.745;6.965
17.322;6.695
15.416;5.078
51.369;16.135
22.199;9.877
31.036;11.363
37.32;12.718
37.581;15.92
39.246;17.742
34.605;9.264
23.055;10.075
15.311;7.437
19.471;4.14
16.098;8.173
24.26;12.444
22.261;12.254
34.481;17.661
21.582;9.105
29.719;13.82
40.503;27.426
26.406;5.234
14.377;7.579
18.269;12.233
24.058;6.511
16.372;6.736
22.738;7.596
32.922;12.402
26.738;7.595
33.039;14.109
35.81;15.889
22.326;13.734
24.944;10.186
23.706;7.19
19.15;7.827
16.907;8.395
24.312;8.929
31.441;12.911
34.647;7.084
26.463;7.576
35.415;8.577
17.78;10.334
16.855;5.34
21.504;9.084
24.059;13.398
23.168;13.949
24.891;17.231
24.787;2.817
24.29;9.368
41.013;9.552
32.231;9.064
19.57;7.282
28.37;7.58
36.706;23.207
32.209;15.318
26.551;6.881
31.072;5.926
16.605;5.062
21.909;13.214
15.36;7.862
12.208;3.822
36.735;11.75
27.387;41.637
23.707;9.713
13.095;5.901
15.484;5.498
15.999;6.374
46.081;18.651
15.132;5.109
17.55;10.554
16.054;15.182
20.223;10.094
41.99;26.826
38.849;16.098
30.817;11.796
37.396;16.616
32.223;1.923
22.223;26.92
19.2;16.654
25.288;20.641
27.173;16.565
42.507;22.304
25.892;12.433
23.381;28.276
30.884;7.983
18.572;7.375
16.486;4.36
19.682;6.703
43.603;18.11
25.943;8.087
32.93;10.862
39.396;18.169
33.55;23.008
30.193;10.246
19.026;6.901
32.578;15.067
16.849;8.568
32.41;5.077
27.898;6.647
27.623;15.212
21.767;9.561
28.467;13.418
36.079;9.81
27.088;5.216
19.303;10.843
16.517;9.639
14.309;3.181
32.453;8.815
27.439;13.861
41.261;15.398
16.024;13.31
32.721;17.266
21.938;14.486
36.559;19.424
29.523;9.519
13.249;3.88
23.025;8.65
17.708;5.485
42.978;20.348
37.342;14.899
35.66;11.759
39.052;12.451
30.13;6.884
33.628;6.683
20.686;6.055
29.562;24.567
15.583;9.177
28.909;15.371
39.017;19.909
31.24;19.035
30.304;18.824
25.681;11.57
20.181;11.56
15.916;6.764
25.485;5.527
26.475;14.408
31.651;18.376
20.623;12.34
42.828;12.607
37.891;13.683
28.147;14.789
14.59;5.704
37.326;9.421
22.805;5.479
17.076;15.217
34.243;22.436
25.041;11.293
26.644;13.044
35.965;13.773
34.68;20.494
37.185;12.273
26.184;6.122
26.416;16.774
22.496;10.48
33.797;9.963
32.189;15.859
38.469;14.454
34.1;10.897
17.78;11.343
16.768;5.331
32.424;12.679
22.388;4.626
25.295;24.491
25.89;17.872
19.727;5.332
15.659;5.736
32.986;12.766
27.856;10.502
22.006;2.759
22.85;7.992
22.166;9.851
27.849;13.491
16.681;8.58
36.298;18.781
24.351;14.655
41.29;17.851
35.127;9.359
31.884;9.086
15.916;10.489
30.491;35.597
13.355;5.677
34.678;17.5
21.276;11.031
25.794;27.909
32.215;12.89
60.709;26.72
27.139;12.19
11.066;18.267
13.919;6.295
33.562;14.597
33.21;9.713
37.676;21.971
40.696;19.223
32.607;30.807
28.446;12.053
39.183;23.462
30.718;14.776
40.554;12.839
29.385;12.356
19.825;9.726
61.188;34.655
30.289;33.409
34.384;8.002
18.938;8.432
19.511;6.71
55.883;24.551
23.801;9.915
30.727;19.436
10.536;6.469
30.132;15.345
45.319;15.096
